Seventeenth Lok Sabha,,
Sitting Members (Alphabetical),,
Name of Member,Party Name,Constituency & State
Shri Pradeep Kumar Chaudhary,Bharatiya Janata Party,Kairana (Uttar Pradesh)
Shri Santokh Singh Chaudhary,Indian National Congress,Jalandhar (SC)(Punjab)
Km. Debasree Chaudhuri,Bharatiya Janata Party,Raiganj (West Bengal)
Shri Devusinh Jesingbhai Chauhan,Bharatiya Janata Party,Kheda (Gujarat)
Shri Nihal Chand Chauhan,Bharatiya Janata Party,Ganganagar (SC)(Rajasthan)
Shri Vinod Chavda,Bharatiya Janata Party,Kachchh (SC)(Gujarat)
Shri Thomas Chazhikadan,Kerala Congress (M),Kottayam (Kerala)
Dr. A. Chellakumar,Indian National Congress,Krishnagiri (Tamil Nadu)
Shri Karti P. Chidambaram,Indian National Congress,Sivaganga (Tamil Nadu)
Shri Prataprao Patil Chikhalikar,Bharatiya Janata Party,Nanded (Maharashtra)
Shri A.K.P. Chinraj,Dravida Munnetra Kazhagam,Namakkal (Tamil Nadu)
Smt. Chinta Anuradha,Yuvajana Sramika Rythu Congress Party,Amalapuram (SC)(Andhra Pradesh)
Shri Ashwini Kumar Choubey,Bharatiya Janata Party,Buxar (Bihar)
Shri Chandra Prakash Choudhary,AJSU Party,Giridih (Jharkhand)
Shri Kailash Choudhary,Bharatiya Janata Party,Barmer (Rajasthan)
Shri Abu Hasem Khan Choudhury,Indian National Congress,Maldaha Dakshin (West Bengal)
Shri Adhir Ranjan Chowdhury,Indian National Congress,Baharampur (West Bengal)
Shri Rajeshbhai Naranbhai Chudasama,Bharatiya Janata Party,Junagadh (Gujarat)
Shri Bharatsinhji Shankarji Dabhi,Bharatiya Janata Party,Patan (Gujarat)
Shri Guman Singh Damor,Bharatiya Janata Party,Ratlam (ST)(Madhya Pradesh)
Shri Raosaheb Dadarao Danve,Bharatiya Janata Party,Jalna (Maharashtra)
Shri Chhatar Singh Darbar,Bharatiya Janata Party,Dhar (ST)(Madhya Pradesh)
Shri Pallab Lochan Das,Bharatiya Janata Party,Tezpur (Assam)
