Seventeenth Lok Sabha,,
Sitting Members (Alphabetical),,
Name of Member,Party Name,Constituency & State
Shri Prahlad Singh Patel,Bharatiya Janata Party,Damoh (Madhya Pradesh)
Shri R.K. Singh Patel,Bharatiya Janata Party,Banda (Uttar Pradesh)
Smt. Sharda Anilkumar Patel,Bharatiya Janata Party,Mahesana (Gujarat)
Smt. Riti Pathak,Bharatiya Janata Party,Sidhi (Madhya Pradesh)
Shri Subrat Pathak,Bharatiya Janata Party,Kannauj (Uttar Pradesh)
Shri Bheemrao Baswanthrao Patil,Telangana Rashtra Samithi,Zahirabad (Telangana)
Shri C. R. Patil,Bharatiya Janata Party,Navsari (Gujarat)
Shri Hemant Shriram Patil,Shiv Sena,Hingoli (Maharashtra)
Shri Kapil Moreshwar Patil,Bharatiya Janata Party,Bhiwandi (Maharashtra)
Shri Sanjay(Kaka) Ramchandra Patil,Bharatiya Janata Party,Sangli (Maharashtra)
Shri Shriniwas Dadasaheb Patil,Nationalist Congress Party,Satara (Maharashtra)
Shri Unmesh Bhaiyyasaheb Patil,Bharatiya Janata Party,Jalgaon (Maharashtra)
Dr. Bharati Pravin Pawar,Bharatiya Janata Party,Dindori (ST)(Maharashtra)
Dr. Lorho S. Pfoze,Naga Peoples Front,Outer Manipur (ST)(Manipur)
Smt. Aparupa Poddar,All India Trinamool Congress,Arambagh (SC)(West Bengal)
Dr. Gautham Sigamani Pon,Dravida Munnetra Kazhagam,Kallakurichi (Tamil Nadu)
Shri Ramulu Pothuganti,Telangana Rashtra Samithi,Nagarkurnool (SC)(Telangana)
Adv. Adoor Prakash,Indian National Congress,Attingal (Kerala)
Shri Nisith Pramanik,Bharatiya Janata Party,Coochbehar (SC)(West Bengal)
Shri Chandeshwar Prasad,Janata Dal (United),Jahanabad (Bihar)
Shri Ravi Shankar Prasad,Bharatiya Janata Party,Patna Sahib (Bihar)
Shri V. Sreenivasa Prasad,Bharatiya Janata Party,Chamrajanagar (SC)(Karnataka)
Shri Pratap Chandra Sarangi,Bharatiya Janata Party,Balasore (Odisha)
Shri T.N. Prathapan,Indian National Congress,Thrissur (Kerala)
Shri N.K. Premachandran,Revolutionary Socialist Party,Kollam (Kerala)
Shri Prince Raj,Lok Jan Shakti Party,Samastipur (SC)(Bihar)
Shri Suresh Kumar Pujari,Bharatiya Janata Party,Bargarh (Odisha)
Shri M. K. Raghavan,Indian National Congress,Kozhikode (Kerala)
Shri B. Y. Raghavendra,Bharatiya Janata Party,Shimoga (Karnataka)
Shri Khalilur Rahaman,All India Trinamool Congress,Jangipur (West Bengal)
Shri Nityanand Rai,Bharatiya Janata Party,Ujiarpur (Bihar)
Shri Omprakash Bhupalsingh alias Pavan Rajenimbalkar,Shiv Sena,Osmanabad (Maharashtra)
Dr. Ranjan Singh Rajkumar,Bharatiya Janata Party,Inner Manipur (Manipur)
Dr. Manoj Rajoria,Bharatiya Janata Party,Karauli-Dholpur (SC)(Rajasthan)
Shri Mukesh Rajput,Bharatiya Janata Party,Farrukhabad (Uttar Pradesh)
Shri Vishnu Dayal Ram,Bharatiya Janata Party,Palamu (SC)(Jharkhand)
Shri Kinjarapu Ram Mohan Naidu,Telugu Desam Party,Srikakulam (Andhra Pradesh)
Shri Sellaperumal Ramalingam,Dravida Munnetra Kazhagam,Mayiladuthurai (Tamil Nadu)
Shri T.R.V.S. Ramesh,Dravida Munnetra Kazhagam,Cuddalore (Tamil Nadu)
Smt Navneet Ravi Rana,Independent,Amravati (SC)(Maharashtra)
Shri Talari Rangaiah,Yuvajana Sramika Rythu Congress Party,Anantapur (Andhra Pradesh)
Shri Nama Nageswara Rao,Telangana Rashtra Samithi,Khammam (Telangana)
Shri Soyam Bapu Rao,Bharatiya Janata Party,Adilabad (ST)(Telangana)
Inderjit Singh Rao,Bharatiya Janata Party,Gurgaon (Haryana)
Shri Dipsinh Shankarsinh Rathod,Bharatiya Janata Party,Sabarkantha (Gujarat)
Shri Ratansinh Magansinh Rathod,Bharatiya Janata Party,Panchmahal (Gujarat)
Col. Rajyavardhan Singh Rathore,Bharatiya Janata Party,Jaipur Rural (Rajasthan)
Smt. Gitaben Vajesingbhai Rathva,Bharatiya Janata Party,Chhota Udaipur (ST)(Gujarat)
Shri Vinayak Bhaurao Raut,Shiv Sena,Ratnagiri-Sindhudurg (Maharashtra)
Dr. D. Ravikumar,Dravida Munnetra Kazhagam,Viluppuram (SC)(Tamil Nadu)
Shri P. Ravindhranath,All India Anna Dravida Munnetra Kazhagam,Theni (Tamil Nadu)
Shri Ashok Kumar Rawat,Bharatiya Janata Party,Misrikh (SC)(Uttar Pradesh)
Shri Tirath Singh Rawat,Bharatiya Janata Party,Garhwal (Uttarakhand)
Shri Upendra Singh Rawat,Bharatiya Janata Party,Barabanki (SC)(Uttar Pradesh)
Smt. Sandhya Ray,Bharatiya Janata Party,Bhind (SC)(Madhya Pradesh)
Prof. Sougata Ray,All India Trinamool Congress,Dum Dum (West Bengal)
Shri Adala Prabhakara Reddy,Yuvajana Sramika Rythu Congress Party,Nellore (Andhra Pradesh)
Shri Anumula Revanth Reddy,Indian National Congress,Malkajgiri (Telangana)
Dr. Gaddam Ranjith Reddy,Telangana Rashtra Samithi,Chevella (Telangana)
Shri Komati Reddy Venkat Reddy,Indian National Congress,Bhongir (Telangana)
Shri Kotha Prabhakar Reddy,Telangana Rashtra Samithi,Medak (Telangana)
Shri Magunta Sreenivasulu Reddy,Yuvajana Sramika Rythu Congress Party,Ongole (Andhra Pradesh)
Shri P.V. Midhun Reddy,Yuvajana Sramika Rythu Congress Party,Rajampet (Andhra Pradesh)
Shri Pocha Brahmananda Reddy,Yuvajana Sramika Rythu Congress Party,Nandyal (Andhra Pradesh)
Shri Uttam Kumar Nalamada Reddy,Indian National Congress,Nalgonda (Telangana)
Shri Y. S. Avinash Reddy,Yuvajana Sramika Rythu Congress Party,kadapa (Andhra Pradesh)
Shri Haji Fazlur Rehman,Bahujan Samaj Party,Saharanpur (Uttar Pradesh)
Shri Prajwal Revanna,Janata Dal (Secular),Hassan (Karnataka)
Shri Kiren Rijiju,Bharatiya Janata Party,Arunachal West (Arunachal Pradesh)
Dr. Jayanta Kumar Roy,Bharatiya Janata Party,Jalpaiguri (SC)(West Bengal)
Smt. Mala Roy,All India Trinamool Congress,Kolkata Dakshin (West Bengal)
Dr. Rajdeep Roy,Bharatiya Janata Party,Silchar (Assam)
Smt. Satabdi Roy (Banerjee),All India Trinamool Congress,Birbhum (West Bengal)
Shri Rajiv Pratap Rudy,Bharatiya Janata Party,Saran (Bihar)
MS. Nusrat Jahan Ruhi,All India Trinamool Congress,Basirhat (West Bengal)
Mohammad Sadique,Indian National Congress,Faridkot (SC)(Punjab)
Shri Arun Kumar Sagar,Bharatiya Janata Party,Shahjahanpur (SC)(Uttar Pradesh)
Shri Mahesh Sahoo,Biju Janata Dal,Dhenkanal (Odisha)
Shri Chandra Sekhar Sahu,Biju Janata Dal,Berhampur (Odisha)
Shri Chunni Lal Sahu,Bharatiya Janata Party,Mahasamund (Chhattisgarh)
Smt. Gomati Sai,Bharatiya Janata Party,Raigarh (ST)(Chhattisgarh)
Dr. M. P. Abdussamad Samadani,Indian Union Muslim League,Malappuram (Kerala)
Shri Achyutananda Samanta,Biju Janata Dal,Kandhamal (Odisha)
Smt. Agatha K. Sangma,National People's Party,Tura (ST)(Meghalaya)
Shri Arun Sao,Bharatiya Janata Party,Bilaspur (Chhattisgarh)
Smt. Aparajita Sarangi,Bharatiya Janata Party,Bhubaneswar (Odisha)
Shri Naba (Hira) Kumar Sarania,Independent,Kokrajhar (ST)(Assam)
Shri Sumedhanand Saraswati,Bharatiya Janata Party,Sikar (Rajasthan)
Shri Francisco Cosme Sardinha,Indian National Congress,South Goa (Goa)
Shri Jagannath Sarkar,Bharatiya Janata Party,Ranaghat (SC)(West Bengal)
Dr. Subhas Sarkar,Bharatiya Janata Party,Bankura (West Bengal)
Shri M V V Satyanarayana,Yuvajana Sramika Rythu Congress Party,Visakhapatnam (Andhra Pradesh)
Shri Khan Saumitra,Bharatiya Janata Party,Bishnupur (SC)(West Bengal)
Shri Arvind Ganpat Sawant,Shiv Sena,Mumbai-South (Maharashtra)
Shri Ganesan Selvam,Dravida Munnetra Kazhagam,Kancheepuram (SC)(Tamil Nadu)
Shri Muniyan Selvaraj,Communist Party of India,Nagapattinam (SC)(Tamil Nadu)
Dr. Jadon Chandra Sen,Bharatiya Janata Party,Firozabad (Uttar Pradesh)
Shri Sanjay Seth,Bharatiya Janata Party,Ranchi (Jharkhand)
Smt. Sarmistha Kumari Sethi,Biju Janata Dal,Jajpur (SC)(Odisha)
Shri Amit Anil Chandra Shah,Bharatiya Janata Party,Gandhinagar (Gujarat)
Smt. Mala Rajya Laxmi Shah,Bharatiya Janata Party,Tehri Garhwal (Uttarakhand)
Shri Anurag Sharma,Bharatiya Janata Party,Jhansi (Uttar Pradesh)
Dr. Arvind Kumar Sharma,Bharatiya Janata Party,Rohtak (Haryana)
Shri Jugal Kishore Sharma,Bharatiya Janata Party,Jammu (Jammu and Kashmir)
Shri Kuldeep Rai Sharma,Indian National Congress,Andaman and Nicobar Islands (Andaman and Nicobar Islands)
Dr. Mahesh Sharma,Bharatiya Janata Party,Gautam Buddha Nagar (Uttar Pradesh)
Shri Vishnu Datt Sharma,Bharatiya Janata Party,Khajuraho (Madhya Pradesh)
Shri Vivek Narayan Shejwalkar,Bharatiya Janata Party,Gwalior (Madhya Pradesh)
Shri Gajendra Singh Shekhawat,Bharatiya Janata Party,Jodhpur (Rajasthan)
Shri Gopal Chinayya Shetty,Bharatiya Janata Party,Mumbai-North (Maharashtra)
Shri Rahul Ramesh Shewale,Shiv Sena,Mumbai South-Central (Maharashtra)
Dr. Shrikant Eknath Shinde,Shiv Sena,Kalyan (Maharashtra)
Dr. Bharatiben Dhirubhai Shiyal,Bharatiya Janata Party,Bhavnagar (Gujarat)
Shri Sudhakar Tukaram Shrangare,Bharatiya Janata Party,Latur (SC)(Maharashtra)
Shri Ravi Kishan Shukla,Bharatiya Janata Party,Gorakhpur (Uttar Pradesh)
Shri Gowdar Mallikarjunappa Siddeshwara,Bharatiya Janata Party,Davanagere (Karnataka)
Shri Janardan Singh Sigriwal,Bharatiya Janata Party,Maharajganj (Bihar)
Shri Prathap Simha,Bharatiya Janata Party,Mysore (Karnataka)
Dr. Sanjeev Kumar Singari,Yuvajana Sramika Rythu Congress Party,Kurnool (Andhra Pradesh)
Dr. Amar Singh,Indian National Congress,Fatehgarh Sahib (SC)(Punjab)
Shri Arjun Singh,Bharatiya Janata Party,Barrackpur (West Bengal)
Shri Atul Kumar Singh,Bahujan Samaj Party,Ghosi (Uttar Pradesh)
Shri Bhola Singh,Bharatiya Janata Party,Bulandshahr (SC)(Uttar Pradesh)
Shri Brijbhushan Sharan Singh,Bharatiya Janata Party,Kaiserganj (Uttar Pradesh)
Shri Brijendra Singh,Bharatiya Janata Party,Hisar (Haryana)
Shri Chandan Singh,Lok Jan Shakti Party,Nawada (Bihar)
Shri Devendra (Alias) Bhole Singh Singh,Bharatiya Janata Party,Akbarpur (Uttar Pradesh)
Shri Dushyant Singh,Bharatiya Janata Party,Jhalawar-Baran (Rajasthan)
Shri Ganesh Singh,Bharatiya Janata Party,Satna (Madhya Pradesh)
Shri Giriraj Singh,Bharatiya Janata Party,Begusarai (Bihar)
Smt. Himadri Singh,Bharatiya Janata Party,Shahdol (ST)(Madhya Pradesh)
Dr. Jitendra Singh,Bharatiya Janata Party,Udhampur (Jammu and Kashmir)
Smt. Kavita Singh,Janata Dal (United),Siwan (Bihar)
Shri Kirti Vardhan Singh,Bharatiya Janata Party,Gonda (Uttar Pradesh)
Shri Lallu Singh,Bharatiya Janata Party,Faizabad (Uttar Pradesh)
Shri Mahabali Singh,Janata Dal (United),Karakat (Bihar)
Shri Nayab Singh,Bharatiya Janata Party,Kurukshetra (Haryana)
Shri Parvesh Sahib Singh,Bharatiya Janata Party,West Delhi (NCT of Delhi)
Shri Pashupati Nath Singh,Bharatiya Janata Party,Dhanbad (Jharkhand)
Shri Pradeep Kumar Singh,Bharatiya Janata Party,Araria (Bihar)
Shri Radha Mohan Singh,Bharatiya Janata Party,Purvi Champaran (Bihar)
Shri Raj Kumar Singh,Bharatiya Janata Party,Arrah (Bihar)
Shri Raj Nath Singh,Bharatiya Janata Party,Lucknow (Uttar Pradesh)
Shri Rajbahadur Singh,Bharatiya Janata Party,Sagar (Madhya Pradesh)
Shri Rajiv Ranjan (Lalan) Singh,Janata Dal (United),Munger (Bihar)
Shri Rajveer (Raju Bhaiya) Singh,Bharatiya Janata Party,Etah (Uttar Pradesh)
Shri Rakesh Singh,Bharatiya Janata Party,Jabalpur (Madhya Pradesh)
Shri Ravneet Singh,Indian National Congress,Ludhiana (Punjab)
Smt. Renuka Singh,Bharatiya Janata Party,Surguja (ST)(Chhattisgarh)
Dr. Satya Pal Singh,Bharatiya Janata Party,Baghpat (Uttar Pradesh)
Shri Sunil Kumar Singh,Bharatiya Janata Party,Chatra (Jharkhand)
Shri Sushil Kumar Singh,Bharatiya Janata Party,Aurangabad (Bihar)
Shri Uday Pratap Singh,Bharatiya Janata Party,Hoshangabad (Madhya Pradesh)
Shri Virendra Singh,Bharatiya Janata Party,Ballia (Uttar Pradesh)
Smt. Sangeeta Kumari Singh Deo,Bharatiya Janata Party,Bolangir (Odisha)
Shri Jayant Sinha,Bharatiya Janata Party,Hazaribagh (Jharkhand)
Dr. (Prof.) Kirit Premjibhai Solanki,Bharatiya Janata Party,Ahmedabad West (SC)(Gujarat)
Shri Mahendra Singh Solanky,Bharatiya Janata Party,Dewas (SC)(Madhya Pradesh)
Shri Sunil Kumar Soni,Bharatiya Janata Party,Raipur (Chhattisgarh)
Shri Vinod Kumar Sonkar,Bharatiya Janata Party,Kaushambi (SC)(Uttar Pradesh)
Shri Sunil Soren,Bharatiya Janata Party,Dumka (ST)(Jharkhand)
Shri Kotagiri Sridhar,Yuvajana Sramika Rythu Congress Party,Eluru (Andhra Pradesh)
Shri Indra Hang Subba,Sikkim Krantikari Morcha,Sikkim (Sikkim)
Shri K. Subbarayan,Communist Party of India,Tiruppur (Tamil Nadu)
Shri Kumbakudi Sudhakaran,Indian National Congress,Kannur (Kerala)
Smt. Supriya Sadanand Sule,Nationalist Congress Party,Baramati (Maharashtra)
Dr. Alok Kumar Suman,Janata Dal (United),Gopalganj (SC)(Bihar)
Shri K. Shanmuga Sundaram,Dravida Munnetra Kazhagam,Pollachi (Tamil Nadu)
Shri Sunil Kumar Pintu,Janata Dal (United),Sitamarhi (Bihar)
Shri Doddaalahalli Kempegowda Suresh,Indian National Congress,Bangalore Rural (Karnataka)
Shri Nandigam Suresh,Yuvajana Sramika Rythu Congress Party,Bapatla (SC)(Andhra Pradesh)
Shri L.S. Tejasvi Surya,Bharatiya Janata Party,Bangalore South (Karnataka)
Dr. Sakshi Ji Swami Maharaj,Bharatiya Janata Party,Unnao (Uttar Pradesh)
Shri Syed Imtiaz Jaleel,All India Majlis-E-Ittehadul Muslimeen,Aurangabad (Maharashtra)
Dr. T. Sumathy (A) Thamizhachi Thangapandian,Dravida Munnetra Kazhagam,Chennai South (Tamil Nadu)
Shri Ramdas Chandrabhanji Tadas,Bharatiya Janata Party,Wardha (Maharashtra)
Shri Manickam Tagore B.,Indian National Congress,Virudhunagar (Tamil Nadu)
Shri Ajay Tamta,Bharatiya Janata Party,Almora (SC)(Uttarakhand)
Shri Sunil Dattatray Tatkare,Nationalist Congress Party,Raigad (Maharashtra)
Shri Rameswar Teli,Bharatiya Janata Party,Dibrugarh (Assam)
Shri Manish Tewari,Indian National Congress,Anandpur Sahib (Punjab)
Shri Anurag Singh Thakur,Bharatiya Janata Party,Hamirpur (Himachal Pradesh)
Sadhvi Pragya Singh Thakur,Bharatiya Janata Party,Bhopal (Madhya Pradesh)
Shri Shantanu Thakur,Bharatiya Janata Party,Bangaon (SC)(West Bengal)
Dr. Shashi Tharoor,Indian National Congress,Thiruvananthapuram (Kerala)
Dr. Tholkappiyan Thirumaavalavan,Viduthalai Chiruthaigal Katchi,Chidambaram (SC)(Tamil Nadu)
Shri Su. Thirunavukkarasar,Indian National Congress,Tiruchirappalli (Tamil Nadu)
Shri Manoj Kumar Tiwari,Bharatiya Janata Party,North East Delhi (NCT of Delhi)
Shri Narendra Singh Tomar,Bharatiya Janata Party,Morena (Madhya Pradesh)
Dr. Ramapati Ram Tripathi,Bharatiya Janata Party,Deoria (Uttar Pradesh)
Shri Rebati Tripura,Bharatiya Janata Party,Tripura East (ST)(Tripura)
Shri Bishweswar Tudu,Bharatiya Janata Party,Mayurbhanj (ST)(Odisha)
Shri Krupal Balaji Tumane,Shiv Sena,Ramtek (SC)(Maharashtra)
Shri Shivkumar Chanabasappa Udasi,Bharatiya Janata Party,Haveri (Karnataka)
Shri Durga Das Uikey,Bharatiya Janata Party,Betul (ST)(Madhya Pradesh)
Shri Saptagiri Sankar Ulaka,Indian National Congress,Koraput (ST)(Odisha)
Shri Rajmohan Unnithan,Indian National Congress,Kasaragod (Kerala)
Shri V.K. Sreekandan,Indian National Congress,Palakkad (Kerala)
Shri Balashowry Vallabbhaneni,Yuvajana Sramika Rythu Congress Party,Machilipatnam (Andhra Pradesh)
Smt. Geetha Viswanath Vanga,Yuvajana Sramika Rythu Congress Party,Kakinada (Andhra Pradesh)
Shri Mansukhbhai Dhanjibhai Vasava,Bharatiya Janata Party,Bharuch (Gujarat)
Shri Prabhubhai Nagarbhai Vasava,Bharatiya Janata Party,Bardoli (ST)(Gujarat)
Shri Vaithilingam Ve.,Indian National Congress,Puducherry (Puducherry)
Shri P. Velusamy,Dravida Munnetra Kazhagam,Dindigul (Tamil Nadu)
Shri S. Venkatesan,Communist Party of India (Marxist),Madurai (Tamil Nadu)
Shri Bhanu Pratap Singh Verma,Bharatiya Janata Party,Jalaun (SC)(Uttar Pradesh)
Shri Rajesh Verma,Bharatiya Janata Party,Sitapur (Uttar Pradesh)
Smt. Rekha Arun Verma,Bharatiya Janata Party,Dhaurahra (Uttar Pradesh)
Shri Ram Shiromani Verma,Bahujan Samaj Party,Shrawasti (Uttar Pradesh)
Shri Rajan Baburao Vichare,Shiv Sena,Thane (Maharashtra)
Shri Vijayakumar (Alias) Vijay Vasanth,Indian National Congress,Kanniyakumari (Tamil Nadu)
Dr. Sujay Radhakrishna Vikhepatil,Bharatiya Janata Party,Ahmednagar (Maharashtra)
Dr. M.K. Vishnu Prasad,Indian National Congress,Arani (Tamil Nadu)
Shri Devendrappa Y,Bharatiya Janata Party,Bellary (ST)(Karnataka)
Shri Akhilesh Yadav,Samajwadi Party,Azamgarh (Uttar Pradesh)
Shri Ashok Kumar Yadav,Bharatiya Janata Party,Madhubani (Bihar)
Shri Dinesh Chandra Yadav,Janata Dal (United),Madhepura (Bihar)
Shri Giridhari Yadav,Janata Dal (United),Banka (Bihar)
Dr. Krishnapal Singh Yadav,Bharatiya Janata Party,Guna (Madhya Pradesh)
Shri Mulayam Singh Yadav,Samajwadi Party,Mainpuri (Uttar Pradesh)
Shri Ram Kripal Yadav,Bharatiya Janata Party,Pataliputra (Bihar)
Shri Shyam Singh Yadav,Bahujan Samaj Party,Jaunpur (Uttar Pradesh)
Shri Tokheho Yepthomi,Nationalist Democratic Progressive Party,Nagaland (Nagaland)
